"Title";"User";"Description";"Views";"superuser"
"Pregnancy Are You Pregnant Or Going Through A High Risk Pregnancy,,lets Talk - Health - Nairaland";"agiboma";"Hi All,I am starting this thread so we can discuss pregnancy and all the joys, anticipation, expectation and all aspects of this beautiful time in a woman's life.At times pregnancy can be very difficult and may even become life threatening, when conditions such as pre-eclamsia,gestational diabetes, Incompetent cervix, PPROM etc.  So lets use this space to discuss all aspects of this process. Nothing in relation to pregnancy is off limits, lets share our experience and support each other in a caring respectful way. Doctors can only give so much advice, but i know first hand peer support is equally important.So lets start talking!Below are a list of ladies that have included their delivery dates, lets keep them in mind by praying and meditating and sending them positive energy, I will update the list reguarly, just include the month you are due. I will also update once you confirmed you have delivered. This will allow ladies to see others that are due around the same time as themselves and perhaps you may find a pregnancy ""buddy"". Its not a must that you include this info to join the thread, we welcome everyone.1.)  Nkkyrules due June 2012 *******DELIVERED A BOUNCING BABY GIRL *******2.)  Amarush  due March 2012 *******DELIVERED A BOUNCING BABY GIRL *******3.)  IB due April 2012       *******DELIVERED A BOUNCING BABY GIRL *******4)   Mogobomya August 20125.)  Toyosi Oct 20126.)  Strita Oct 20127.)  Uwani Oct. 20128.)  Igosun Jul. 2012        *******DELIVERED A BOUNCING BABY BOY *******9.)  Jemmibee Oct. 201210.) y.me Nov 201211.) tessybaby April 2012  *******DELIVERED A BOUNCING BABY GIRL *******12.) Luvlee May 2012       *******DELIVERED A BOUNCING BABY GIRL *******13.) Biddiebest Jul, 201214.) Oknee April 201215.) Dudugirl April 2012    *******DELIVERED A BOUNCING BABY GIRL *******16.) Moran August 201217.) Diamondlove Oct. 201218.) osikhueme March 2012   *******DELIVERED A BOUNCING BABY BOY *******19.) Babyme Sept. 201220)  Sweettweet June 2012      *******DELIVERED A BOUNCING BABY BOY *******21.) Imboss. Jul 2012          *******DELIVERED *******22.) Jibola  Nov. 201223.) Efemena_xy Febuary 2012   *******DELIVERED A BOUNCING BABY GIRL *******24.) Avatur Due June 2012      *******DELIVERED A BOUNCING BABY GIRL *******25.) OLUWATOSIN Due June 2012  *******DELIVERED A BOUNCING BABY BOY *******26.) Recruitment Due August 2012  *******DELIVERED A BOUNCING BABY BOY *******29.) Jumie Jul, 201230.) Otossd June 201231.) Bolseas Dec. 201232.) Pamperme May 2012         *******DELIVERED A BOUNCING BABY BOY *******33.) Corrall  Dec. 201234.) Maran1983 august 201235.) Olapo due Nov. 201236.) sdara                       *******DELIVERED  *******37.) Infogenius Aug. 201238.) Ibotus Oct. 201239.) Toyin Sept. 201240.) corral dec. 2012";" 5299177 ";"agiboma"
"Why You Should Start Peeing On Yourself In The Shower - Health - Nairaland";"Nazae";"Whether we admit it or not, everyone has peed on themselves while having a bath. Though it is our body's waste product some of us don't know is that it actually has a lot of benefits. Below are some of its benefits:1. The most important reason why you should pee on yourself in the shower is that it saves water. According to the United States Environmental Protection Agency, a standard toilet uses 1.6 gallons (6.05 litres) per flush and considering that an average person uses the toilet 6-8 times a day, that is a lot of wasted water. 2. Fascia specialist Lauren Roxburgh recommended women to squat and pee in the shower to engage pelvic floor muscles which can actually lead to better sex. This also applies to men as it improves blood flow in that area and also improve urinary control. 3. Another reason is prevent or treat Athlete's foot (foot fungus). Urea the nitrogenous compound found in your urine is present in some anti-fungal creams. Urea is only present in urine in small amounts so you have to pee a lot to start getting results.Urine can also be used to decrease the symptoms of psoriasis, eczema, acne(applying it on the body), can also be used for rehydration (drinking it).";" 104 ";"Nazae"
"How Can I Get Rid Of Pimples, Dark Spots On My Face?  - Health - Nairaland";"zoho23";"Good evening everyone. How can I achieve a smooth face? I have pimples and dark spotsPicture below";" 27040 ";"zoho23"
"Simple Acne Treatments  To Get Rid Of Pimples On Your Face - Health - Nairaland";"Codedrock";"1. Keep your hands off your face!All dermatologists agree that you should never, ever pick at your pimple. We repeat: Do not pick at your pimple. “It may seem tempting, but remember that once you’ve picked at an acne lesion, it will take longer to heal and is more likely to scar,” warns dermatologist Dr. Doris Day, author of 100 Questions and Answers About Acne. Trust us on this one.2. Skip home “remedies.”While toothpaste, lemon juice, and even Windex have been cited as excellent at-home remedies for blemishes, derms advise against them. “Toothpaste is more complicated than it used to be and can irritate or over-dry your skin,” warns Dr. Day. “Lemon juice is also irritating and wouldn’t have any effect on the pimple itself.” And Windex — well, it’s glass cleaner. Don’t put glass cleaner on your face.3. Apply a warm compress.Heat is a super simple way to soothe your skin if you feel a blemish coming on, says Dr. Margarita Lolis, dermatologist at Skin and Laser Surgery Specialists of New York and New Jersey. “Use a warm compress or steam to bring everything to the surface,” she explains. And once your pimple appears, apply a spot treatment. Alternately, you can use a cold compress to bring down the swelling of a particularly large, painful blemish.4. Use an acne spot treatment.On top of always washing off your makeup at night, using the right moisturizer for your skin type, and keeping your fingers away from your face, you can use a spot treatment to get rid of stubborn pimples. Ingredients to look out for: Benzoyl peroxide to kill acne-causing bacteria, salicylic acid to help exfoliate and unclog pores, and retinoids to help control cell turnover, which allows clogged cells to shed and prevents them from clogging.5. Wash your face regularly.“Your oil glands are active all day,” explains Dr. Joshua Zeichner, Director of Cosmetic & Clinical Research in Dermatology at Mount Sinai Hospital; when that oil combines with dirt, makeup, and pollution, it’s not doing your skin any favors. Amapiano 2020That goes double for workouts: “Sweat mixed with dirt and oil can become trapped under wet workout clothing,” potentially worsening a breakout. “If you can’t take a full shower,” Dr. Zeichner says, “at least use a cleansing towelette,” like Good Housekeeping Beauty Breakthrough Award winner and Seal-holder, Olay Daily Facials.6. In a pinch, get a cortisone shot.Have a really big event coming up? Then, you probably don’t have time to wait and see if your blemish will disappear on its own. Consider seeing a dermatologist for an overnight cure. “A cortisone shot is an anti-inflammatory, so it treats the pimple itself,” explains Dr. Peredo.“If it’s a big, painful pimple, the cortisone diffuses the inflammation and flattens it out, hopefully without leaving a scar.” Of course, this isn’t an easy, at-home DIY fix. It should only be administered by a physician, usually a dermatologist, and it is often covered by insurance if you have acne.7. Try a salicylic acid cleanser.If your breakouts are frequent and you’re sick of it, you may want to consider switching up your skincare routine. “Pick a cleanser that has glycolic or salicylic acid in it, which you can get over the counter,” Dr. Peredo instructs. “Those with acne-prone skin may need an astringent to degrease the skin, too — I like salicylic or glycolic, because they can help with the scarring that could occur, as well.”8. Go light on your makeup.Beauty products are one of the most common causes of adult acne, and unfortunately, using heavy duty makeup to hide your blemishes won’t make them physically disappear.“Use mineral makeup on your skin rather than oil-based products that can contribute to breakouts,” recommends Dr. Peredo, adding that oil-based foundation and concealer can block pores. Better yet, go totally makeup-free for a few days — it could be just the break your skin needs to clear up quick.9. Medicate if necessary.For those who suffer from cystic acne, a combination of topical products, in-office treatments (like lasers), and medication are often times the way to go. A dermatologist can work with you to find medications that will help treatment in the long-run. see: new south african songs“Nodular acne often requires treatment with systemic medications such as oral antibiotics, and hormonal medications (oral contraceptives, spironolactone),” says Valerie Harvey, MD, a dermatologist based in Virginia. “Isotretinoin, a derivative of vitamin A, is also very effective.”10. Use light therapy to zap acne.Instead of going to your dermatologist for red and blue light therapy (which can cost upwards of $100), use an at-home device over a blemish, or over your whole face, for just two minute. The red light reduces acne inflammation, while the blue light targets acne-causing bacteria. Additionally, the light stimulates the dermal layers of the skin and produce additional collagen. In turn, acne scars fill out and the skin looks more even-toned.https://www.yahoo.com/amphtml/lifestyle/secret-getting-rid-pimples-easier-015900817.html";" 28217 ";"Codedrock"
"NEW BORN BABIES! Are U A New Mum? Then Lets Discuss Babies Here!!!!! - Health - Nairaland";"ayobarmy";"There is no thought that babies are indeed bundle of joy, but sometime we mothers/fathers face so many challenges raising our kids, so i want us to use this avenue to discuss any issue concerning them(our kids) here!!!!!!    For example, my 8weeks old boy sleeps only 6 hours @ night but seems to enjoy more time sleeping during the day, but i must confess am not too  happy about it at all, but what every1 is saying its normal.......... Nairalanders Is this normal?";" 3034532 ";"ayobarmy"
"Please Can Somebody Help Me - Health - Nairaland";"EzendiEgo1";"Hi good evening guys I know this my question might sound as if am a novice in sex game. I had a sex with a lady last week using two condoms for extra protection but my fear is that can she be pregnant after using condom to have sex with her. Because today she's showing sign of sickness.Please I need answers doctors here";" 76 ";"EzendiEgo1"
"Help! Medical Advice Needed - Health - Nairaland";"Darkmode64";"Hello fellow nairalanders.I'll go straight to the point. Sometime last week while looking at the mirror, I observed that my tonsils behind my throat were swollen with white spots. I would have thought tonsilitis or strepthroat, but it does not hurt me in any way neither am I experiencing symptoms of the aforementioned health cases. I swallow without pains. I was prescribed chymotrypsin(Maxmoral) a day later and I've used this for 3 days my tonsils still have with spots in them. ""Googling the symptoms"" have given me sleepless nights because of the horrific things I've read.Please, is there some antibiotics I can use for this? Should I be worried? Medical practitioners in the house your opinions shall be welcomed.";" 98 ";"Darkmode64"
"Tooth Pain? Don't Remove That Tooth Until You Have Done This... - Health - Nairaland";"glorydina";"Get my eBook on how you can ease that tooth pain forever for just five hundred naira (#500).Don't remove your tooth, the worms/bacteria causing the pain will always go to another one.Interested persons should please WhatsApp me 08164572294 on how to pay for the eBook.";" 57 ";"glorydina"
"Is There Any Solution For Blocked Tubes? - Health - Nairaland";"Russialane";"Been married for 5 years now. Before I got married, I did all fertility tests with my hubby including HSG and they all came out clean. A year after I got married and didn't conceive, my gynae asked me to repeat all my tests including HSG and they were all ok and my case was classified as unexplained infertility. Two weeks after repeating the HSG at a popular diagnostic center on Ligali Ayorinde, VI, I was rushed to the clinic due to severe stomach cramps and after series of tests, I was placed on anti biotics with no real explainations as to what could have caused the excess abdominal fluids I had in my abdomen. some months later, I was asked to do Laparoscopy and behold my tubes were blocked. After deep investigation into my case by experts it was discovered that the rusty instruments used for the last HSG caused the damage.I actually saw those instruments before the tests but the radiologist assured me its no big deal cos the instruments are sterilized. Today I'm left with blocked tubes and really don't know what to do since IVF@4 attempts too has not worked for me.I've discussed removing my tubes with both my Gynae and Hubby but non of them wants to hear of it since I'm still in my early 30s. Is there anyone with similiar problem who was able to concieve either naturally or through IVF in this forum? I'm really desperate now as my home is gradually hitting the rocks. I'v heard of fellopio and other herbal remedies used for opening the tubes, has any one used them before? Please honest advice only.";" 159053 ";"Nobody"
"Anyone Trying IVF/IUI/ICSI (Fertility Treatments)? - Health - Nairaland";"pslm23";"I know there is a TTC forum but I was just wondering if there are any ladies here that are going through or will soon go through IVF/IUI or any other assisted reproduction techniques other than clomid.I am currently doing IVF and thought it would be nice to share with others on the same journey and compare notes on meds, stimms, retrievals, transfers etc.I'm on day 4 of stimms using 1cc of Menopur 75IU and 375 IU of Gonal-F injections I have to take in my belly every night. These meds have the worst side effects, headaches, nausea and kick-a ss diarrhea (TMI sorry   )If you have an IVF experience, please share.";" 825858 ";"pslm23"
